Date,Age,Volume
2016-04-22,CUMUL,12461
2016-04-22,CUMUL,3219
2016-04-22,CUMUL,1812
2016-04-22,CUMUL,483
2016-04-22,18-24 ans,206
2016-04-22,18-24 ans,117
2016-04-22,18-24 ans,#
2016-04-22,18-24 ans,#
2016-04-22,25-34 ans,1030
2016-04-22,25-34 ans,415
2016-04-22,25-34 ans,127
2016-04-22,25-34 ans,59
2016-04-22,35-44 ans,1746
2016-04-22,35-44 ans,485
2016-04-22,35-44 ans,245
2016-04-22,35-44 ans,72
2016-04-22,45-54 ans,2522
2016-04-22,45-54 ans,769
2016-04-22,45-54 ans,323
2016-04-22,45-54 ans,98
2016-04-22,55-64 ans,2355
2016-04-22,55-64 ans,582
2016-04-22,55-64 ans,402
2016-04-22,55-64 ans,91
2016-04-22,65 ans et +,2983
2016-04-22,65 ans et +,415
2016-04-22,65 ans et +,461
2016-04-22,65 ans et +,85
2016-04-22,NR,1619
2016-04-22,NR,436
2016-04-22,NR,235
2016-04-22,NR,65
2016-04-23,CUMUL,9890
2016-04-23,CUMUL,2817
2016-04-23,CUMUL,1392
2016-04-23,CUMUL,464
2016-04-23,18-24 ans,186
2016-04-23,18-24 ans,91
2016-04-23,18-24 ans,39
2016-04-23,18-24 ans,#
2016-04-23,25-34 ans,825
2016-04-23,25-34 ans,507
2016-04-23,25-34 ans,58
2016-04-23,25-34 ans,106
2016-04-23,35-44 ans,1552
2016-04-23,35-44 ans,373
2016-04-23,35-44 ans,245
2016-04-23,35-44 ans,53
2016-04-23,45-54 ans,1905
2016-04-23,45-54 ans,634
2016-04-23,45-54 ans,284
2016-04-23,45-54 ans,73
2016-04-23,55-64 ans,1778
2016-04-23,55-64 ans,585
2016-04-23,55-64 ans,275
2016-04-23,55-64 ans,133
2016-04-23,65 ans et +,2475
2016-04-23,65 ans et +,388
2016-04-23,65 ans et +,334
2016-04-23,65 ans et +,73
2016-04-23,NR,1169
2016-04-23,NR,239
2016-04-23,NR,157
2016-04-23,NR,#
2016-04-24,CUMUL,8051
2016-04-24,CUMUL,2013
2016-04-24,CUMUL,1295
2016-04-24,CUMUL,420
2016-04-24,18-24 ans,127
2016-04-24,18-24 ans,87
2016-04-24,18-24 ans,29
2016-04-24,18-24 ans,21
2016-04-24,25-34 ans,737
2016-04-24,25-34 ans,298
2016-04-24,25-34 ans,108
2016-04-24,25-34 ans,63
2016-04-24,35-44 ans,1298
2016-04-24,35-44 ans,378
2016-04-24,35-44 ans,167
2016-04-24,35-44 ans,49
2016-04-24,45-54 ans,1396
2016-04-24,45-54 ans,502
2016-04-24,45-54 ans,275
2016-04-24,45-54 ans,154
2016-04-24,55-64 ans,1337
2016-04-24,55-64 ans,378
2016-04-24,55-64 ans,196
2016-04-24,55-64 ans,56
2016-04-24,65 ans et +,2212
2016-04-24,65 ans et +,247
2016-04-24,65 ans et +,393
2016-04-24,65 ans et +,56
2016-04-24,NR,944
2016-04-24,NR,123
2016-04-24,NR,127
2016-04-24,NR,21
2016-04-25,CUMUL,12817
2016-04-25,CUMUL,3154
2016-04-25,CUMUL,2123
2016-04-25,CUMUL,600
2016-04-25,18-24 ans,196
2016-04-25,18-24 ans,146
2016-04-25,18-24 ans,#
2016-04-25,18-24 ans,26
2016-04-25,25-34 ans,935
2016-04-25,25-34 ans,342
2016-04-25,25-34 ans,128
2016-04-25,25-34 ans,53
2016-04-25,35-44 ans,2008
2016-04-25,35-44 ans,537
2016-04-25,35-44 ans,374
2016-04-25,35-44 ans,93
2016-04-25,45-54 ans,2885
2016-04-25,45-54 ans,831
2016-04-25,45-54 ans,423
2016-04-25,45-54 ans,201
2016-04-25,55-64 ans,2383
2016-04-25,55-64 ans,586
2016-04-25,55-64 ans,393
2016-04-25,55-64 ans,60
2016-04-25,65 ans et +,2845
2016-04-25,65 ans et +,342
2016-04-25,65 ans et +,521
2016-04-25,65 ans et +,107
2016-04-25,NR,1565
2016-04-25,NR,370
2016-04-25,NR,275
2016-04-25,NR,60
2016-04-26,CUMUL,13296
2016-04-26,CUMUL,3345
2016-04-26,CUMUL,2077
2016-04-26,CUMUL,711
2016-04-26,18-24 ans,197
2016-04-26,18-24 ans,118
2016-04-26,18-24 ans,#
2016-04-26,18-24 ans,#
2016-04-26,25-34 ans,1094
2016-04-26,25-34 ans,432
2016-04-26,25-34 ans,108
2016-04-26,25-34 ans,106
2016-04-26,35-44 ans,1981
2016-04-26,35-44 ans,488
2016-04-26,35-44 ans,345
2016-04-26,35-44 ans,86
2016-04-26,45-54 ans,2967
2016-04-26,45-54 ans,879
2016-04-26,45-54 ans,414
2016-04-26,45-54 ans,207
2016-04-26,55-64 ans,2553
2016-04-26,55-64 ans,690
2016-04-26,55-64 ans,364
2016-04-26,55-64 ans,113
2016-04-26,65 ans et +,2829
2016-04-26,65 ans et +,376
2016-04-26,65 ans et +,591
2016-04-26,65 ans et +,113
2016-04-26,NR,1675
2016-04-26,NR,362
2016-04-26,NR,246
2016-04-26,NR,73
2016-04-27,CUMUL,13094
2016-04-27,CUMUL,3401
2016-04-27,CUMUL,2207
2016-04-27,CUMUL,607
2016-04-27,18-24 ans,207
2016-04-27,18-24 ans,118
2016-04-27,18-24 ans,#
2016-04-27,18-24 ans,#
2016-04-27,25-34 ans,1036
2016-04-27,25-34 ans,390
2016-04-27,25-34 ans,197
2016-04-27,25-34 ans,72
2016-04-27,35-44 ans,2072
2016-04-27,35-44 ans,509
2016-04-27,35-44 ans,355
2016-04-27,35-44 ans,91
2016-04-27,45-54 ans,2773
2016-04-27,45-54 ans,809
2016-04-27,45-54 ans,473
2016-04-27,45-54 ans,170
2016-04-27,55-64 ans,2526
2016-04-27,55-64 ans,732
2016-04-27,55-64 ans,404
2016-04-27,55-64 ans,91
2016-04-27,65 ans et +,2753
2016-04-27,65 ans et +,432
2016-04-27,65 ans et +,503
2016-04-27,65 ans et +,98
2016-04-27,NR,1727
2016-04-27,NR,411
2016-04-27,NR,256
2016-04-27,NR,72
2016-04-28,CUMUL,14135
2016-04-28,CUMUL,3929
2016-04-28,CUMUL,2289
2016-04-28,CUMUL,729
2016-04-28,18-24 ans,197
2016-04-28,18-24 ans,140
2016-04-28,18-24 ans,#
2016-04-28,25-34 ans,1165
2016-04-28,25-34 ans,415
2016-04-28,25-34 ans,158
2016-04-28,25-34 ans,60
2016-04-28,35-44 ans,2173
2016-04-28,35-44 ans,556
2016-04-28,35-44 ans,365
2016-04-28,35-44 ans,100
2016-04-28,45-54 ans,3280
2016-04-28,45-54 ans,972
2016-04-28,45-54 ans,513
2016-04-28,45-54 ans,188
2016-04-28,55-64 ans,2509
2016-04-28,55-64 ans,768
2016-04-28,55-64 ans,365
2016-04-28,55-64 ans,141
2016-04-28,65 ans et +,2944
2016-04-28,65 ans et +,613
2016-04-28,65 ans et +,592
2016-04-28,65 ans et +,147
2016-04-28,NR,1867
2016-04-28,NR,465
2016-04-28,NR,296
2016-04-28,NR,87
2016-04-29,CUMUL,14686
2016-04-29,CUMUL,3930
2016-04-29,CUMUL,2488
2016-04-29,CUMUL,653
2016-04-29,18-24 ans,217
2016-04-29,18-24 ans,196
2016-04-29,18-24 ans,#
2016-04-29,18-24 ans,27
2016-04-29,25-34 ans,1078
2016-04-29,25-34 ans,498
