Date;JourDeLaSemaine;Age;Volume
2017-05-10;Mercredi;18-24;155
2017-05-10;Mercredi;18-24;1386
2017-05-10;Mercredi;18-24;126
2017-05-10;Mercredi;18-24;873
2017-05-10;Mercredi;25-34;145
2017-05-10;Mercredi;25-34;1614
2017-05-10;Mercredi;25-34;171
2017-05-10;Mercredi;25-34;1044
2017-05-10;Mercredi;35-44;211
2017-05-10;Mercredi;35-44;1994
2017-05-10;Mercredi;35-44;126
2017-05-10;Mercredi;35-44;1064
2017-05-10;Mercredi;45-54;233
2017-05-10;Mercredi;45-54;2012
2017-05-10;Mercredi;45-54;178
2017-05-10;Mercredi;45-54;1202
2017-05-10;Mercredi;55-64;201
2017-05-10;Mercredi;55-64;2037
2017-05-10;Mercredi;55-64;174
2017-05-10;Mercredi;55-64;1096
2017-05-10;Mercredi;<18;318
2017-05-10;Mercredi;<18;2945
2017-05-10;Mercredi;<18;231
2017-05-10;Mercredi;<18;1565
2017-05-10;Mercredi;>65;331
2017-05-10;Mercredi;>65;2751
2017-05-10;Mercredi;>65;190
2017-05-10;Mercredi;>65;1158
2017-05-11;Jeudi;18-24;151
2017-05-11;Jeudi;18-24;1514
2017-05-11;Jeudi;18-24;105
2017-05-11;Jeudi;18-24;864
2017-05-11;Jeudi;25-34;154
2017-05-11;Jeudi;25-34;1723
2017-05-11;Jeudi;25-34;157
2017-05-11;Jeudi;25-34;1061
2017-05-11;Jeudi;35-44;197
2017-05-11;Jeudi;35-44;2104
2017-05-11;Jeudi;35-44;183
2017-05-11;Jeudi;35-44;1164
2017-05-11;Jeudi;45-54;246
2017-05-11;Jeudi;45-54;2327
2017-05-11;Jeudi;45-54;158
2017-05-11;Jeudi;45-54;1133
2017-05-11;Jeudi;55-64;244
2017-05-11;Jeudi;55-64;2052
2017-05-11;Jeudi;55-64;139
2017-05-11;Jeudi;55-64;1094
2017-05-11;Jeudi;<18;337
2017-05-11;Jeudi;<18;3103
2017-05-11;Jeudi;<18;223
2017-05-11;Jeudi;<18;1566
2017-05-11;Jeudi;>65;361
2017-05-11;Jeudi;>65;2718
2017-05-11;Jeudi;>65;174
2017-05-11;Jeudi;>65;1097
2017-05-12;Vendredi;18-24;205
2017-05-12;Vendredi;18-24;1567
2017-05-12;Vendredi;18-24;156
2017-05-12;Vendredi;18-24;866
2017-05-12;Vendredi;25-34;227
2017-05-12;Vendredi;25-34;1727
2017-05-12;Vendredi;25-34;228
2017-05-12;Vendredi;25-34;994
2017-05-12;Vendredi;35-44;304
2017-05-12;Vendredi;35-44;2263
2017-05-12;Vendredi;35-44;237
2017-05-12;Vendredi;35-44;1156
2017-05-12;Vendredi;45-54;290
2017-05-12;Vendredi;45-54;2347
2017-05-12;Vendredi;45-54;234
2017-05-12;Vendredi;45-54;1140
2017-05-12;Vendredi;55-64;300
2017-05-12;Vendredi;55-64;2155
2017-05-12;Vendredi;55-64;233
2017-05-12;Vendredi;55-64;1149
2017-05-12;Vendredi;<18;455
2017-05-12;Vendredi;<18;3270
2017-05-12;Vendredi;<18;323
2017-05-12;Vendredi;<18;1550
2017-05-12;Vendredi;>65;499
2017-05-12;Vendredi;>65;3052
2017-05-12;Vendredi;>65;257
2017-05-12;Vendredi;>65;1076
2017-05-14;Dimanche;18-24;82
2017-05-14;Dimanche;18-24;918
2017-05-14;Dimanche;18-24;#
2017-05-14;Dimanche;18-24;502
2017-05-14;Dimanche;25-34;70
2017-05-14;Dimanche;25-34;1125
2017-05-14;Dimanche;25-34;28
2017-05-14;Dimanche;25-34;567
2017-05-14;Dimanche;35-44;164
2017-05-14;Dimanche;35-44;1535
