Date,CSP,Volume
2016-04-22,CUMUL,12460
2016-04-22,CUMUL,3217
2016-04-22,CUMUL,1810
2016-04-22,CUMUL,479
2016-04-22,NR,323
2016-04-22,NR,62
2016-04-22,NR,68
2016-04-22,NR,#
2016-04-22,CSP+,1099
2016-04-22,CSP+,422
2016-04-22,CSP+,127
2016-04-22,CSP+,52
2016-04-22,CSP en croissance,1570
2016-04-22,CSP en croissance,554
2016-04-22,CSP en croissance,186
2016-04-22,CSP en croissance,32
2016-04-22,Populaire,1256
2016-04-22,Populaire,201
2016-04-22,Populaire,137
2016-04-22,Populaire,#
2016-04-22,CSP en croissance,41
2016-04-22,CSP en croissance,#
2016-04-22,CSP+,471
2016-04-22,CSP+,318
2016-04-22,CSP+,68
2016-04-22,CSP+,52
2016-04-22,Populaire,304
2016-04-22,Populaire,679
2016-04-22,Populaire,29
2016-04-22,Populaire,124
2016-04-22,Populaire,392
2016-04-22,Populaire,187
2016-04-22,Populaire,39
2016-04-22,Populaire,39
2016-04-22,CSP en croissance,3150
2016-04-22,CSP en croissance,374
2016-04-22,CSP en croissance,323
2016-04-22,CSP en croissance,45
2016-04-22,Populaire,991
2016-04-22,Populaire,131
2016-04-22,Populaire,304
2016-04-22,Populaire,#
2016-04-22,CSP+,2904
2016-04-22,CSP+,131
2016-04-22,CSP+,529
2016-04-22,CSP+,45
2016-04-22,CSP+,117
2016-04-22,CSP+,39
2016-04-23,CUMUL,9888
2016-04-23,CUMUL,2816
2016-04-23,CUMUL,1391
2016-04-23,CUMUL,462
2016-04-23,NR,324
2016-04-23,NR,35
2016-04-23,NR,68
2016-04-23,NR,#
2016-04-23,CSP+,785
2016-04-23,CSP+,345
2016-04-23,CSP+,108
2016-04-23,CSP+,#
2016-04-23,CSP en croissance,923
2016-04-23,CSP en croissance,451
2016-04-23,CSP en croissance,117
2016-04-23,CSP en croissance,53
2016-04-23,Populaire,923
2016-04-23,Populaire,225
2016-04-23,Populaire,88
2016-04-23,Populaire,33
2016-04-23,CSP en croissance,28
2016-04-23,CSP en croissance,#
2016-04-23,CSP+,324
2016-04-23,CSP+,303
2016-04-23,CSP+,#
2016-04-23,CSP+,46
2016-04-23,Populaire,186
2016-04-23,Populaire,522
2016-04-23,Populaire,29
2016-04-23,Populaire,93
2016-04-23,Populaire,137
2016-04-23,Populaire,239
2016-04-23,Populaire,66
2016-04-23,CSP en croissance,2760
2016-04-23,CSP en croissance,345
2016-04-23,CSP en croissance,334
2016-04-23,CSP en croissance,66
2016-04-23,Populaire,736
2016-04-23,Populaire,112
2016-04-23,Populaire,137
2016-04-23,CSP+,2790
2016-04-23,CSP+,134
2016-04-23,CSP+,491
2016-04-23,CSP+,40
2016-04-23,CSP+,77
2016-04-23,CSP+,26
2016-04-24,CUMUL,8051
2016-04-24,CUMUL,2010
2016-04-24,CUMUL,1293
2016-04-24,CUMUL,420
2016-04-24,NR,344
2016-04-24,NR,29
2016-04-24,NR,88
2016-04-24,NR,#
2016-04-24,CSP+,206
2016-04-24,CSP+,276
2016-04-24,CSP+,#
2016-04-24,CSP+,63
2016-04-24,CSP en croissance,570
2016-04-24,CSP en croissance,262
2016-04-24,CSP en croissance,39
2016-04-24,CSP en croissance,28
2016-04-24,Populaire,531
2016-04-24,Populaire,152
2016-04-24,Populaire,59
2016-04-24,Populaire,#
2016-04-24,CSP en croissance,50
2016-04-24,CSP en croissance,21
2016-04-24,CSP+,147
2016-04-24,CSP+,196
2016-04-24,CSP+,29
2016-04-24,CSP+,56
2016-04-24,Populaire,49
2016-04-24,Populaire,334
2016-04-24,Populaire,#
2016-04-24,Populaire,42
2016-04-24,Populaire,108
2016-04-24,Populaire,182
2016-04-24,Populaire,#
2016-04-24,Populaire,63
2016-04-24,CSP en croissance,2566
2016-04-24,CSP en croissance,247
2016-04-24,CSP en croissance,314
2016-04-24,CSP en croissance,42
2016-04-24,Populaire,688
2016-04-24,Populaire,101
2016-04-24,Populaire,157
2016-04-24,Populaire,#
2016-04-24,CSP+,2842
2016-04-24,CSP+,94
2016-04-24,CSP+,570
2016-04-24,CSP+,42
2016-04-24,CSP+,87
2016-04-24,CSP+,21
2016-04-25,CUMUL,12817
2016-04-25,CUMUL,3151
2016-04-25,CUMUL,2121
2016-04-25,CUMUL,599
2016-04-25,NR,384
2016-04-25,NR,41
2016-04-25,NR,68
2016-04-25,NR,#
2016-04-25,CSP+,1191
2016-04-25,CSP+,412
2016-04-25,CSP+,147
2016-04-25,CSP+,60
2016-04-25,CSP en croissance,1388
2016-04-25,CSP en croissance,496
2016-04-25,CSP en croissance,256
2016-04-25,CSP en croissance,60
2016-04-25,Populaire,1191
2016-04-25,Populaire,237
2016-04-25,Populaire,128
2016-04-25,Populaire,#
2016-04-25,CSP en croissance,41
