Date;JourDeLaSemaine;CSP;Volume
2017-05-10;Mercredi;CSP en croissance;124
2017-05-10;Mercredi;CSP en croissance;158
2017-05-10;Mercredi;CSP en croissance;1729
2017-05-10;Mercredi;CSP en croissance;105
2017-05-10;Mercredi;CSP en croissance;644
2017-05-10;Mercredi;CSP en croissance;30
2017-05-10;Mercredi;CSP en croissance;511
2017-05-10;Mercredi;CSP en croissance;3898
2017-05-10;Mercredi;CSP en croissance;#
2017-05-10;Mercredi;CSP en croissance;398
2017-05-10;Mercredi;CSP+;124
2017-05-10;Mercredi;CSP+;114
2017-05-10;Mercredi;CSP+;1204
2017-05-10;Mercredi;CSP+;147
2017-05-10;Mercredi;CSP+;826
2017-05-10;Mercredi;CSP+;392
2017-05-10;Mercredi;CSP+;41
2017-05-10;Mercredi;CSP+;404
2017-05-10;Mercredi;CSP+;443
2017-05-10;Mercredi;CSP+;3275
2017-05-10;Mercredi;CSP+;#
2017-05-10;Mercredi;CSP+;88
2017-05-10;Mercredi;CSP+;96
2017-05-10;Mercredi;CSP+;227
2017-05-10;Mercredi;NR;206
2017-05-10;Mercredi;NR;135
2017-05-10;Mercredi;NR;3579
2017-05-10;Mercredi;Populaire;124
2017-05-10;Mercredi;Populaire;163
2017-05-10;Mercredi;Populaire;1787
2017-05-10;Mercredi;Populaire;21
2017-05-10;Mercredi;Populaire;402
2017-05-10;Mercredi;Populaire;67
2017-05-10;Mercredi;Populaire;377
2017-05-10;Mercredi;Populaire;142
2017-05-10;Mercredi;Populaire;1011
2017-05-10;Mercredi;Populaire;32
2017-05-10;Mercredi;Populaire;643
2017-05-10;Mercredi;Populaire;78
2017-05-10;Mercredi;Populaire;231
2017-05-10;Mercredi;Populaire;106
2017-05-10;Mercredi;Populaire;1230
2017-05-10;Mercredi;Populaire;28
2017-05-10;Mercredi;Populaire;161
2017-05-11;Jeudi;CSP en croissance;56
2017-05-11;Jeudi;CSP en croissance;439
2017-05-11;Jeudi;CSP en croissance;56
2017-05-11;Jeudi;CSP en croissance;439
2017-05-11;Jeudi;CSP en croissance;239
2017-05-11;Jeudi;CSP en croissance;1875
2017-05-11;Jeudi;CSP en croissance;119
2017-05-11;Jeudi;CSP en croissance;630
2017-05-11;Jeudi;CSP en croissance;37
2017-05-11;Jeudi;CSP en croissance;472
2017-05-11;Jeudi;CSP en croissance;3959
2017-05-11;Jeudi;CSP en croissance;94
2017-05-11;Jeudi;CSP en croissance;492
2017-05-11;Jeudi;CSP+;56
2017-05-11;Jeudi;CSP+;439
2017-05-11;Jeudi;CSP+;56
2017-05-11;Jeudi;CSP+;439
2017-05-11;Jeudi;CSP+;117
2017-05-11;Jeudi;CSP+;1342
2017-05-11;Jeudi;CSP+;118
2017-05-11;Jeudi;CSP+;735
2017-05-11;Jeudi;CSP+;#
2017-05-11;Jeudi;CSP+;539
2017-05-11;Jeudi;CSP+;50
2017-05-11;Jeudi;CSP+;529
2017-05-11;Jeudi;CSP+;335
2017-05-11;Jeudi;CSP+;3093
2017-05-11;Jeudi;CSP+;79
2017-05-11;Jeudi;CSP+;71
2017-05-11;Jeudi;CSP+;208
2017-05-11;Jeudi;NR;56
2017-05-11;Jeudi;NR;596
2017-05-11;Jeudi;NR;56
2017-05-11;Jeudi;NR;476
2017-05-11;Jeudi;Populaire;56
2017-05-11;Jeudi;Populaire;439
2017-05-11;Jeudi;Populaire;56
2017-05-11;Jeudi;Populaire;439
2017-05-11;Jeudi;Populaire;245
2017-05-11;Jeudi;Populaire;1976
2017-05-11;Jeudi;Populaire;#
2017-05-11;Jeudi;Populaire;398
2017-05-11;Jeudi;Populaire;69
2017-05-11;Jeudi;Populaire;393
2017-05-11;Jeudi;Populaire;130
2017-05-11;Jeudi;Populaire;1017
2017-05-11;Jeudi;Populaire;64
2017-05-11;Jeudi;Populaire;716
2017-05-11;Jeudi;Populaire;71
2017-05-11;Jeudi;Populaire;234
2017-05-11;Jeudi;Populaire;134
