Date,CategorieVisiteurs,Volume
2016-04-22,Résident ,12463
2016-04-22,Touriste Français,3223
2016-04-22,Touriste Etranger,806
2016-04-22,Résident ,1815
2016-04-22,Touriste Français,486
2016-04-22,Touriste Etranger,321
2016-04-23,Résident ,9893
2016-04-23,Touriste Français,2822
2016-04-23,Touriste Etranger,799
2016-04-23,Résident ,1395
2016-04-23,Touriste Français,467
2016-04-23,Touriste Etranger,380
2016-04-24,Résident ,8055
2016-04-24,Touriste Français,2017
2016-04-24,Touriste Etranger,638
2016-04-24,Résident ,1298
2016-04-24,Touriste Français,422
2016-04-24,Touriste Etranger,307
2016-04-25,Résident ,12821
2016-04-25,Touriste Français,3158
2016-04-25,Touriste Etranger,851
2016-04-25,Résident ,2127
2016-04-25,Touriste Français,603
2016-04-25,Touriste Etranger,431
2016-04-26,Résident ,13299
2016-04-26,Touriste Français,3350
2016-04-26,Touriste Etranger,897
2016-04-26,Résident ,2080
2016-04-26,Touriste Français,715
2016-04-26,Touriste Etranger,438
2016-04-27,Résident ,13097
2016-04-27,Touriste Français,3406
2016-04-27,Touriste Etranger,979
2016-04-27,Résident ,2210
2016-04-27,Touriste Français,610
2016-04-27,Touriste Etranger,509
2016-04-28,Résident ,14140
2016-04-28,Touriste Français,3933
2016-04-28,Touriste Etranger,808
2016-04-28,Résident ,2292
2016-04-28,Touriste Français,733
2016-04-28,Touriste Etranger,376
2016-04-29,Résident ,14690
2016-04-29,Touriste Français,3933
2016-04-29,Touriste Etranger,993
2016-04-29,Résident ,2492
2016-04-29,Touriste Français,657
2016-04-29,Touriste Etranger,479
2016-04-30,Résident ,11131
2016-04-30,Touriste Français,3476
2016-04-30,Touriste Etranger,1120
2016-04-30,Résident ,1772
2016-04-30,Touriste Français,611
2016-04-30,Touriste Etranger,535
2016-05-01,Résident ,8150
2016-05-01,Touriste Français,2514
2016-05-01,Touriste Etranger,745
2016-05-01,Résident ,1080
2016-05-01,Touriste Français,545
2016-05-01,Touriste Etranger,359
2016-05-02,Résident ,13301
2016-05-02,Touriste Français,3260
2016-05-02,Touriste Etranger,738
2016-05-02,Résident ,1975
2016-05-02,Touriste Français,657
2016-05-02,Touriste Etranger,377
2016-05-03,Résident ,14220
2016-05-03,Touriste Français,3722
2016-05-03,Touriste Etranger,822
2016-05-03,Résident ,2444
2016-05-03,Touriste Français,690
2016-05-03,Touriste Etranger,420
2016-05-04,Résident ,13212
2016-05-04,Touriste Français,3627
2016-05-04,Touriste Etranger,791
2016-05-04,Résident ,2328
2016-05-04,Touriste Français,691
2016-05-04,Touriste Etranger,358
2016-05-05,Résident ,9930
2016-05-05,Touriste Français,3326
2016-05-05,Touriste Etranger,1138
2016-05-05,Résident ,1733
2016-05-05,Touriste Français,713
2016-05-05,Touriste Etranger,596
2016-05-06,Résident ,12753
2016-05-06,Touriste Français,4171
2016-05-06,Touriste Etranger,1254
2016-05-06,Résident ,1934
2016-05-06,Touriste Français,661
2016-05-06,Touriste Etranger,580
2016-05-07,Résident ,12248
2016-05-07,Touriste Français,4064
2016-05-07,Touriste Etranger,1104
2016-05-07,Résident ,1736
2016-05-07,Touriste Français,646
2016-05-07,Touriste Etranger,501
2016-05-08,Résident ,8744
2016-05-08,Touriste Français,2272
2016-05-08,Touriste Etranger,636
2016-05-08,Résident ,1459
2016-05-08,Touriste Français,461
2016-05-08,Touriste Etranger,312
2016-05-09,Résident ,13206
2016-05-09,Touriste Français,3465
2016-05-09,Touriste Etranger,727
2016-05-09,Résident ,2171
2016-05-09,Touriste Français,724
2016-05-09,Touriste Etranger,336
2016-05-10,Résident ,13762
2016-05-10,Touriste Français,3845
2016-05-10,Touriste Etranger,835
2016-05-10,Résident ,2073
2016-05-10,Touriste Français,639
2016-05-10,Touriste Etranger,427
2016-05-11,Résident ,13988
2016-05-11,Touriste Français,3871
2016-05-11,Touriste Etranger,900
2016-05-11,Résident ,2246
2016-05-11,Touriste Français,581
2016-05-11,Touriste Etranger,428
2016-05-12,Résident ,13653
2016-05-12,Touriste Français,4068
2016-05-12,Touriste Etranger,791
2016-05-12,Résident ,2319
2016-05-12,Touriste Français,739
2016-05-12,Touriste Etranger,373
2016-05-13,Résident ,15668
2016-05-13,Touriste Français,5071
2016-05-13,Touriste Etranger,1456
2016-05-13,Résident ,2321
2016-05-13,Touriste Français,816
2016-05-13,Touriste Etranger,678
2016-05-14,Résident ,20183
2016-05-14,Touriste Français,12323
2016-05-14,Touriste Etranger,2415
2016-05-14,Résident ,2787
2016-05-14,Touriste Français,2042
2016-05-14,Touriste Etranger,1084
