Date;JourDeLaSemaine;CategorieVisiteurs;Volume
2017-05-10;Mercredi;Resident;1593
2017-05-10;Mercredi;Resident;14739
2017-05-10;Mercredi;Touriste Etranger;29
2017-05-10;Mercredi;Touriste Etranger;172
2017-05-10;Mercredi;Touriste Français;1196
2017-05-10;Mercredi;Touriste Français;8001
2017-05-11;Jeudi;Resident;1690
2017-05-11;Jeudi;Resident;15541
2017-05-11;Jeudi;Touriste Etranger;68
2017-05-11;Jeudi;Touriste Etranger;223
2017-05-11;Jeudi;Touriste Français;1139
2017-05-11;Jeudi;Touriste Français;7979
2017-05-12;Vendredi;Resident;2279
2017-05-12;Vendredi;Resident;16380
2017-05-12;Vendredi;Touriste Etranger;59
2017-05-12;Vendredi;Touriste Etranger;190
2017-05-12;Vendredi;Touriste Français;1668
2017-05-12;Vendredi;Touriste Français;7930
2017-05-14;Dimanche;Resident;900
2017-05-14;Dimanche;Resident;10355
2017-05-14;Dimanche;Touriste Etranger;60
2017-05-14;Dimanche;Touriste Etranger;227
2017-05-14;Dimanche;Touriste Français;246
2017-05-14;Dimanche;Touriste Français;4591
2017-05-15;Lundi;Resident;1526
2017-05-15;Lundi;Resident;14422
2017-05-15;Lundi;Touriste Etranger;56
2017-05-15;Lundi;Touriste Etranger;252
2017-05-15;Lundi;Touriste Français;1028
2017-05-15;Lundi;Touriste Français;7310
2017-05-16;Mardi;Resident;1727
2017-05-16;Mardi;Resident;15370
2017-05-16;Mardi;Touriste Etranger;87
2017-05-16;Mardi;Touriste Etranger;245
2017-05-16;Mardi;Touriste Français;998
2017-05-16;Mardi;Touriste Français;8063
2017-05-17;Mercredi;Resident;1805
2017-05-17;Mercredi;Resident;14685
2017-05-17;Mercredi;Touriste Etranger;81
2017-05-17;Mercredi;Touriste Etranger;246
2017-05-17;Mercredi;Touriste Français;952
2017-05-17;Mercredi;Touriste Français;7567
2017-05-18;Jeudi;Resident;1823
2017-05-18;Jeudi;Resident;15312
2017-05-18;Jeudi;Touriste Etranger;143
2017-05-18;Jeudi;Touriste Etranger;291
2017-05-18;Jeudi;Touriste Français;1132
2017-05-18;Jeudi;Touriste Français;7759
2017-05-19;Vendredi;Resident;1382
2017-05-19;Vendredi;Resident;14734
2017-05-19;Vendredi;Touriste Etranger;41
2017-05-19;Vendredi;Touriste Etranger;194
2017-05-19;Vendredi;Touriste Français;1218
2017-05-19;Vendredi;Touriste Français;7757
2017-05-20;Samedi;Resident;1128
2017-05-20;Samedi;Resident;13094
2017-05-20;Samedi;Touriste Etranger;57
2017-05-20;Samedi;Touriste Etranger;219
2017-05-20;Samedi;Touriste Français;745
2017-05-20;Samedi;Touriste Français;6235
2017-05-21;Dimanche;Resident;1063
2017-05-21;Dimanche;Resident;9783
2017-05-21;Dimanche;Touriste Etranger;31
2017-05-21;Dimanche;Touriste Etranger;152
2017-05-21;Dimanche;Touriste Français;538
2017-05-21;Dimanche;Touriste Français;4227
2017-05-22;Lundi;Resident;1666
2017-05-22;Lundi;Resident;13993
2017-05-22;Lundi;Touriste Etranger;79
2017-05-22;Lundi;Touriste Etranger;200
2017-05-22;Lundi;Touriste Français;1033
2017-05-22;Lundi;Touriste Français;7340
2017-05-23;Mardi;Resident;1789
2017-05-23;Mardi;Resident;15228
2017-05-23;Mardi;Touriste Etranger;93
2017-05-23;Mardi;Touriste Etranger;258
2017-05-23;Mardi;Touriste Français;1013
2017-05-23;Mardi;Touriste Français;7526
2017-05-24;Mercredi;Resident;1715
2017-05-24;Mercredi;Resident;14516
2017-05-24;Mercredi;Touriste Etranger;70
2017-05-24;Mercredi;Touriste Etranger;259
2017-05-24;Mercredi;Touriste Français;1045
2017-05-24;Mercredi;Touriste Français;7132
2017-05-25;Jeudi;Resident;891
2017-05-25;Jeudi;Resident;8750
2017-05-25;Jeudi;Touriste Etranger;90
2017-05-25;Jeudi;Touriste Etranger;263
2017-05-25;Jeudi;Touriste Français;601
